percorso;num;id_ferm
"3575";"8";"11331"
"5492";"10";"12731"
"7548";"29";"17392"
"5843";"9";"14602"
"12574";"37";"14872"
"6293";"25";"13322"
"8057";"19";"15108"
"9629";"2";"15044"
"4653";"4";"10536"
"6142";"18";"13100"
"7693";"24";"12703"
"3465";"2";"12256"
"4872";"3";"13239"
"6764";"14";"12629"
"7621";"9";"17128"
"7607";"11";"14006"
"13146";"21";"12150"
"4653";"1";"10519"
"9457";"47";"14909"
"13009";"15";"16452"
"6201";"25";"12228"
"9175";"5";"13659"
"10089";"18";"17530"
"10148";"2";"17793"
"11357";"8";"10506"
"8736";"3";"16164"
"10123";"5";"17067"
"11304";"14";"16323"
"11635";"9";"17057"
"4538";"6";"11461"
"12292";"7";"13712"
"9878";"15";"10212"
"12916";"15";"11053"
"3578";"23";"12176"
"5843";"12";"14896"
"12304";"12";"14328"
"11357";"3";"10790"
"10492";"18";"16997"
"7212";"9";"17303"
"6796";"6";"17098"
"4086";"22";"15632"
"4653";"30";"11338"
"4039";"11";"12632"
"10150";"1";"13331"
"7210";"1";"12941"
"7227";"17";"16786"
"5099";"14";"12152"
"11608";"11";"17173"
"4084";"17";"11149"
"3578";"19";"12227"
"7891";"12";"17293"
"8842";"10";"13615"
"6708";"18";"11888"
"5131";"4";"15765"
"11350";"2";"11142"
"12296";"8";"13194"
"12972";"12";"12587"
"4873";"12";"14227"
"8174";"9";"11953"
"5795";"8";"14089"
"7227";"14";"12569"
"9962";"19";"11753"
"11716";"6";"12832"
"12292";"9";"13714"
"5804";"14";"13345"
"12490";"30";"10510"
"13158";"9";"16857"
"13125";"14";"12227"
"11656";"21";"13432"
"13161";"34";"12715"
"479";"9";"12739"
"322";"18";"14598"
"7275";"16";"13863"
"7608";"6";"13551"
"9366";"29";"12092"
"10300";"34";"13144"
"12280";"1";"19603"
"8090";"5";"10346"
"13155";"9";"12865"
